auroc,auprc,f1,brier,ece,n,prevalence,variant,test_site,seed
0.7104755220214073,0.7019705406892048,0.6415094339622641,0.29106638879635394,0.26475910423486826,303,0.45874587458745875,CISD-full,cleveland,0
0.7254781540621161,0.715876998759391,0.6453900709219859,0.3017911885956662,0.28367925189699156,303,0.45874587458745875,CISD-no_adv,cleveland,0
0.6933672574135813,0.673994238823588,0.6083916083916083,0.2881148714026459,0.2552115217330696,303,0.45874587458745875,CISD-no_orth,cleveland,0
0.7312247762765397,0.6982617951780413,0.6291390728476821,0.2701087056199884,0.25188224812081833,303,0.45874587458745875,CISD-no_env_aux,cleveland,0
0.7349096332689946,0.7088124075652968,0.6555183946488295,0.24410851898479233,0.18274377675810322,303,0.45874587458745875,CISD-full,cleveland,1
0.734646429198105,0.6909533374651553,0.6476868327402135,0.2865677410995324,0.27737481351439514,303,0.45874587458745875,CISD-no_adv,cleveland,1
0.718985786980172,0.6984931419779083,0.6621160409556315,0.2699109444214611,0.23522538461407977,303,0.45874587458745875,CISD-no_orth,cleveland,1
0.7303035620284261,0.694012113603497,0.6990291262135923,0.2663289893992815,0.23620567338449572,303,0.45874587458745875,CISD-no_env_aux,cleveland,1
0.7714949991226531,0.7277965556075958,0.710691823899371,0.23794627454668296,0.19311689013197275,303,0.45874587458745875,CISD-full,cleveland,2
0.7295139498157571,0.7023867375337505,0.6624203821656052,0.32558185559572644,0.30566196920886646,303,0.45874587458745875,CISD-no_adv,cleveland,2
0.7137655729075276,0.7078735884594928,0.6712328767123286,0.2755916546063094,0.22821704979406754,303,0.45874587458745875,CISD-no_orth,cleveland,2
0.6970082470608878,0.6768606992050965,0.6402640264026402,0.29302276605766875,0.2540919785302711,303,0.45874587458745875,CISD-no_env_aux,cleveland,2
0.7721968766450255,0.7654086207431074,0.6987179487179487,0.2464725459687841,0.2247834177645428,303,0.45874587458745875,CISD-full,cleveland,3
0.6865678189155993,0.6776003612918946,0.5971223021582733,0.3233376216197323,0.3062835701290809,303,0.45874587458745875,CISD-no_adv,cleveland,3
0.748069836813476,0.7149192881327535,0.6716417910447762,0.2459829644268932,0.21419821542139658,303,0.45874587458745875,CISD-no_orth,cleveland,3
0.7994823653272504,0.7851252658470171,0.7083333333333334,0.20722115944419778,0.1661300791692082,303,0.45874587458745875,CISD-no_env_aux,cleveland,3
0.7930338655904544,0.7533126867500874,0.7171052631578947,0.22344349978391975,0.18560098882073195,303,0.45874587458745875,CISD-full,cleveland,4
0.7396034391998596,0.7261367945526737,0.6402877697841727,0.27789176232194873,0.26310095343766593,303,0.45874587458745875,CISD-no_adv,cleveland,4
0.7214862256536234,0.7110378244983103,0.6642599277978339,0.2679139264194561,0.23712020872151446,303,0.45874587458745875,CISD-no_orth,cleveland,4
0.7811019477101245,0.7606379233388829,0.7012987012987013,0.22944784536901006,0.18777915942258447,303,0.45874587458745875,CISD-no_env_aux,cleveland,4
0.8578883982336412,0.7527495704600913,0.7520661157024794,0.16568993961036801,0.1511163653261088,294,0.36054421768707484,CISD-full,hungarian,0
0.7656061822561221,0.6526415984242128,0.6101694915254237,0.2762703445964908,0.2766391033377489,294,0.36054421768707484,CISD-no_adv,hungarian,0
0.7655058209554396,0.6675860656995953,0.6249999999999999,0.2462071120693457,0.21523051525524778,294,0.36054421768707484,CISD-no_orth,hungarian,0
0.7671617824167001,0.6014380281847731,0.6493506493506493,0.2166358672561606,0.15269205310721434,294,0.36054421768707484,CISD-no_env_aux,hungarian,0
0.8175431553592934,0.7059318859561398,0.7165354330708662,0.20518662651135647,0.2138866516174585,294,0.36054421768707484,CISD-full,hungarian,1
0.7697209955841028,0.6317561988514391,0.6584362139917695,0.26052743360659325,0.25113375899701473,294,0.36054421768707484,CISD-no_adv,hungarian,1
0.7316338819751104,0.5664577162440085,0.6039215686274509,0.27450440479159166,0.25462066497083047,294,0.36054421768707484,CISD-no_orth,hungarian,1
