,,auroc,auroc,auprc,auprc,f1,f1,brier,brier,ece,ece
,,mean,std,mean,std,mean,std,mean,std,mean,std
method,test_site,,,,,,,,,,
CISD (ours),cleveland,0.756422179329707,0.0331297883277895,0.7314601622710585,0.02750459619214952,0.6847085728772616,0.03405572490150415,0.24860744561610662,0.02536949315486174,0.2102008355420438,0.034785629624837416
CISD (ours),hungarian,0.8106382978723404,0.04032173100731244,0.694541605656261,0.03768423064212868,0.6942593074428339,0.04722128049665453,0.20528457473678213,0.03259542409548255,0.19141741155391298,0.036301889737288186
CISD (ours),switzerland,0.5889130434782609,0.052834361491867265,0.9512198825871618,0.01242703247960856,0.7084185046143492,0.03751371971101961,0.33200530333030576,0.04083461125087037,0.4042850465043585,0.046706277813200865
CISD (ours),va,0.6597710225029609,0.050906037338595236,0.8429353768071778,0.030194263735592117,0.8136115931942844,0.011153984283352923,0.2249449893514539,0.01823176350419753,0.19775262788893022,0.025375052795063555
ERM,cleveland,0.7408799789436744,0.030349111606028087,0.7053900880873522,0.02527777637742786,0.6608559930426113,0.03870537848621805,0.2888863319599724,0.02190395846291948,0.28583854383101837,0.01885775702567738
ERM,hungarian,0.7511692091529506,0.04060138560306824,0.6315842106083382,0.06207596218101866,0.6110219347732645,0.032679984493968764,0.29101697344963817,0.04250147895908242,0.2898502196829368,0.04685974922479525
ERM,switzerland,0.5741304347826086,0.04602846986167558,0.9465510044981416,0.007938826198556724,0.7453241614752134,0.061050462723949366,0.3577592836037583,0.06305139382269762,0.37747708249762857,0.06879355438163569
ERM,va,0.608935386235031,0.030686544200961688,0.8048784940969685,0.01818764545865286,0.7665303279212702,0.017580810646288747,0.30929123011766324,0.024853527483924057,0.312562222173833,0.023377520284681153
IRM,cleveland,0.7091287945253553,0.020463391253587714,0.6727287249390403,0.025824344841689405,0.6217823331157417,0.026852774506335986,0.3202163654474706,0.020188810041846608,0.3146378105940282,0.021398256530817318
IRM,hungarian,0.7422320353271779,0.035312979707940846,0.6061944418398626,0.039187982704482226,0.6144191975331379,0.04116988834065523,0.2789134386272136,0.029056947120091558,0.2706040848923458,0.02755890987371684
IRM,switzerland,0.6552173913043479,0.08252069110985219,0.9650163308587931,0.010637515562504987,0.750511816792814,0.006399215552539717,0.34703355632850286,0.021195426301578463,0.3660314536786928,0.016842685210049363
IRM,va,0.6012370048690616,0.03000818983595862,0.7971986240299549,0.014148024043683103,0.7757576885279611,0.015383805957784592,0.3022044064512802,0.011273179832564822,0.3033750796233974,0.015546404140803171
