method,test_site,seed,missing_modality,auroc,brier
ERM,cleveland,0,demographic,0.7673714686787155,0.2675612450209537
CISD (ours),cleveland,0,demographic,0.7153886646780137,0.2821625813837437
ERM,cleveland,0,clinical,0.7406562554834182,0.28363684400055805
CISD (ours),cleveland,0,clinical,0.6458150552728549,0.3030548327394658
ERM,cleveland,0,exercise,0.6531409019126162,0.34561740072349745
CISD (ours),cleveland,0,exercise,0.5612826811721354,0.3305159795278242
ERM,cleveland,1,demographic,0.7160686085278118,0.3069619788839426
CISD (ours),cleveland,1,demographic,0.7013511142305667,0.2696318992409244
ERM,cleveland,1,clinical,0.5568082119670118,0.4765648245355018
CISD (ours),cleveland,1,clinical,0.7318827864537638,0.27203411412125844
ERM,cleveland,1,exercise,0.6400684330584313,0.3375666422881303
CISD (ours),cleveland,1,exercise,0.6201965257062643,0.3289063675159756
ERM,cleveland,2,demographic,0.7789963151430076,0.269642676943136
CISD (ours),cleveland,2,demographic,0.7970257939989471,0.21759948720325656
ERM,cleveland,2,clinical,0.7634234076153711,0.2553136760827664
CISD (ours),cleveland,2,clinical,0.7328040007018776,0.25635485586990336
ERM,cleveland,2,exercise,0.7111335321986313,0.31490288842460173
CISD (ours),cleveland,2,exercise,0.6291454641165116,0.3039047196380938
ERM,cleveland,3,demographic,0.6663888401473943,0.35989807372894356
CISD (ours),cleveland,3,demographic,0.7840849271802071,0.23535158563439773
ERM,cleveland,3,clinical,0.7641252851377435,0.3339144607402773
CISD (ours),cleveland,3,clinical,0.7121863484821899,0.25093096944293947
ERM,cleveland,3,exercise,0.6465169327952273,0.35124351843199747
CISD (ours),cleveland,3,exercise,0.7106509914020004,0.2871550406907016
ERM,cleveland,4,demographic,0.6984120021056326,0.2996976356555517
CISD (ours),cleveland,4,demographic,0.7118354097210037,0.30269868603798245
ERM,cleveland,4,clinical,0.7548254079663099,0.2673558568100905
CISD (ours),cleveland,4,clinical,0.7260484295490437,0.3227683469482898
ERM,cleveland,4,exercise,0.5862870679066503,0.38963089676726836
CISD (ours),cleveland,4,exercise,0.6790226355500965,0.35699843732916015
ERM,hungarian,0,demographic,0.6179245283018868,0.4123463914691987
CISD (ours),hungarian,0,demographic,0.8659173022882376,0.16402158043487639
ERM,hungarian,0,clinical,0.7925531914893617,0.3021355862987118
CISD (ours),hungarian,0,clinical,0.7642513046969088,0.2274436038919576
ERM,hungarian,0,exercise,0.628311922922521,0.3487124668240897
CISD (ours),hungarian,0,exercise,0.776796467282216,0.2819045839193225
ERM,hungarian,1,demographic,0.5933861902850261,0.4709300812595777
CISD (ours),hungarian,1,demographic,0.7713267763950221,0.22585748726055788
ERM,hungarian,1,clinical,0.7688177438779606,0.240999850332268
CISD (ours),hungarian,1,clinical,0.8275291047771979,0.20782322516627105
ERM,hungarian,1,exercise,0.6384484142914492,0.37023451918619554
CISD (ours),hungarian,1,exercise,0.7890405459654757,0.2503064595483025
ERM,hungarian,2,demographic,0.7248594941790446,0.3176452133494817
CISD (ours),hungarian,2,demographic,0.7666097952629466,0.22389623069565084
ERM,hungarian,2,clinical,0.7950120433560819,0.20032435306986116
CISD (ours),hungarian,2,clinical,0.8003311922922521,0.176233652556904
ERM,hungarian,2,exercise,0.6809012444801285,0.31324439016186867
CISD (ours),hungarian,2,exercise,0.7746386993175431,0.2580691725619358
ERM,hungarian,3,demographic,0.6782918506623846,0.41305112905551516
CISD (ours),hungarian,3,demographic,0.7334905660377359,0.3005342655520954
ERM,hungarian,3,clinical,0.7591328783621035,0.2419724520381029
CISD (ours),hungarian,3,clinical,0.7824668807707748,0.2640529624902636
ERM,hungarian,3,exercise,0.7079486150140506,0.3248675379792333
CISD (ours),hungarian,3,exercise,0.6896828582898434,0.3064412946243693
ERM,hungarian,4,demographic,0.7962665596146126,0.2516215180083564
CISD (ours),hungarian,4,demographic,0.6647932557205941,0.29460936630097745
ERM,hungarian,4,clinical,0.7842232035327178,0.24998189282350944
CISD (ours),hungarian,4,clinical,0.8300883179446006,0.17260530271627877
ERM,hungarian,4,exercise,0.6453733440385387,0.36297009852072865
CISD (ours),hungarian,4,exercise,0.692242071457246,0.3519230907005576
ERM,switzerland,0,demographic,0.6217391304347826,0.4075901619323986
CISD (ours),switzerland,0,demographic,0.65,0.40181085495110064
ERM,switzerland,0,clinical,0.5695652173913044,0.4637878756067806
CISD (ours),switzerland,0,clinical,0.6880434782608695,0.40430445685828265
ERM,switzerland,0,exercise,0.5847826086956521,0.3005334171581547
CISD (ours),switzerland,0,exercise,0.657608695652174,0.2659954304022428
ERM,switzerland,1,demographic,0.5826086956521739,0.37261402581327563
CISD (ours),switzerland,1,demographic,0.658695652173913,0.3864126101929423
ERM,switzerland,1,clinical,0.7510869565217392,0.429835737734611
CISD (ours),switzerland,1,clinical,0.5619565217391305,0.4022494512962091
ERM,switzerland,1,exercise,0.475,0.38334434061514483
CISD (ours),switzerland,1,exercise,0.5695652173913044,0.4110826602515742
ERM,switzerland,2,demographic,0.6010869565217392,0.5382791131974779
CISD (ours),switzerland,2,demographic,0.47391304347826085,0.456476632452738
ERM,switzerland,2,clinical,0.5369565217391304,0.5483058698310632
CISD (ours),switzerland,2,clinical,0.5489130434782609,0.2966122399283288
ERM,switzerland,2,exercise,0.47282608695652173,0.3912424800678942
CISD (ours),switzerland,2,exercise,0.45869565217391306,0.4012185221933146
ERM,switzerland,3,demographic,0.6043478260869565,0.3157959768897906
CISD (ours),switzerland,3,demographic,0.6065217391304348,0.4372387156366557
ERM,switzerland,3,clinical,0.6358695652173914,0.42954693079068296
CISD (ours),switzerland,3,clinical,0.5847826086956521,0.36796781681926266
ERM,switzerland,3,exercise,0.46847826086956523,0.3376867124019218
CISD (ours),switzerland,3,exercise,0.3521739130434783,0.45551325362364503
ERM,switzerland,4,demographic,0.7467391304347826,0.29455282370094776
CISD (ours),switzerland,4,demographic,0.6358695652173914,0.5200537840867798
ERM,switzerland,4,clinical,0.6065217391304348,0.4964159448160035
CISD (ours),switzerland,4,clinical,0.5543478260869565,0.3647790199112629
ERM,switzerland,4,exercise,0.5021739130434782,0.3144113258449576
CISD (ours),switzerland,4,exercise,0.7717391304347826,0.5115424316392508
ERM,va,0,demographic,0.6264640084221608,0.34494424881581054
CISD (ours),va,0,demographic,0.6957494407158836,0.22902208985552341
ERM,va,0,clinical,0.6854191340965916,0.29822950559103967
CISD (ours),va,0,clinical,0.6755494143966312,0.23737076989367584
ERM,va,0,exercise,0.5267798394525596,0.3933796032880409
CISD (ours),va,0,exercise,0.6208711672588498,0.2528891331294262
ERM,va,1,demographic,0.6333070140808001,0.30642271114597686
CISD (ours),va,1,demographic,0.7182524016317936,0.22086974637150752
ERM,va,1,clinical,0.634096591656797,0.36697166915118473
CISD (ours),va,1,clinical,0.6635741544940124,0.23931342451040777
ERM,va,1,exercise,0.504671667324648,0.4112845913646907
CISD (ours),va,1,exercise,0.6320568495854718,0.22162349950532942
ERM,va,2,demographic,0.6345571785761285,0.31422208541549446
CISD (ours),va,2,demographic,0.6760100013159627,0.22225011455817664
ERM,va,2,clinical,0.6054086063955784,0.348810627206001
CISD (ours),va,2,clinical,0.6663376760100013,0.20453230029301814
ERM,va,2,exercise,0.5866561389656534,0.35567918512204516
CISD (ours),va,2,exercise,0.5817870772470062,0.2415205337902657
ERM,va,3,demographic,0.6167916831161995,0.3438366372691392
CISD (ours),va,3,demographic,0.697986577181208,0.26461850249882707
ERM,va,3,clinical,0.6061981839715752,0.35164929043261756
CISD (ours),va,3,clinical,0.6543624161073825,0.24659823916075138
ERM,va,3,exercise,0.5240163179365706,0.3682698714197269
CISD (ours),va,3,exercise,0.5648111593630741,0.2714400005746187
ERM,va,4,demographic,0.6912751677852349,0.2994267623389373
CISD (ours),va,4,demographic,0.697986577181208,0.24503041054964825
ERM,va,4,clinical,0.6477826029740755,0.5056863765186675
CISD (ours),va,4,clinical,0.6710751414659823,0.24752266038529577
ERM,va,4,exercise,0.5877089090669825,0.3421112420323713
CISD (ours),va,4,exercise,0.5792867482563495,0.2563114024997326
